Number_of_spots
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
751.0588
