"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1102369.210000,100287.426247,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1029039.960000,74002.462069,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1031390.920000,36020.591666,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1121851.450000,114274.105863,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1191588.300000,392443.262146,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1108948.090000,58618.271480,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1151201.730000,94014.740911,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1051303.180000,39306.942848,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1125077.240000,64554.171581,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1115756.560000,45285.875040,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1246310.400000,63653.416589,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1206666.750000,35521.868400,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1151460.770000,32518.116667,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.clij_sphere","ss",1,100,1392690.450000,21724.287416,"ns/op",13
