"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,556330.000000,112286.525615,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,5956457.000000,619063.648939,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,8491427.000000,281236.589139,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,15897507.000000,861396.963980,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,17134053.000000,787146.183602,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,21173601.000000,1216217.506592,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,22515176.000000,1223623.970016,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,33426257.000000,1873550.143100,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,40172060.000000,1560685.089041,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,48207808.000000,2654491.635005,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,66234446.000000,3986150.864446,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,80626345.000000,2950100.538722,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,103911160.000000,3297010.735759,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,122656666.000000,11139622.043052,"ns/op",13
