"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","avgt",1,10,753057.144594,181976.591312,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","avgt",1,10,983404.405000,237974.311491,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","avgt",1,10,1113968.050000,160952.680315,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","avgt",1,10,1096983.500000,117184.596100,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","avgt",1,10,1387358.700000,229016.841013,"ns/op",4
