"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,554387.000000,109766.956893,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,630163.000000,28792.371756,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,1005147.000000,57879.754837,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,2103981.000000,81332.416235,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,2544787.000000,73908.079216,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,4108106.000000,110221.330481,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,6166924.000000,88660.126583,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,8573039.000000,1066260.460806,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,11216390.000000,204012.564439,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,14749363.000000,1274475.487925,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,18576951.000000,696921.538706,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,23950515.000000,892849.771479,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,53230356.000000,1805694.853607,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar2D.ijrun","ss",1,100,98046836.000000,6562710.579408,"ns/op",13
