"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: radius","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,2129209.740000,257221.888188,"ns/op",2,0
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,1944686.470000,118154.943664,"ns/op",2,1
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,1907838.600000,115700.740416,"ns/op",2,2
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,3226715.830000,151672.479481,"ns/op",2,3
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,3161636.880000,102431.699010,"ns/op",2,4
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,3434171.980000,134912.729421,"ns/op",2,5
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,3474690.490000,176467.473063,"ns/op",2,6
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,3793951.550000,150755.510353,"ns/op",2,7
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,4134688.830000,113296.238916,"ns/op",2,8
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,4314251.160000,98375.252693,"ns/op",2,9
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,5052417.630000,94516.211591,"ns/op",2,10
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,5306799.990000,65207.565297,"ns/op",2,11
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,8134332.020000,132967.209856,"ns/op",2,12
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur2D.clij","ss",1,100,12115328.910000,88078.913672,"ns/op",2,13
