"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: radius","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,664246.000000,127276.046749,"ns/op",2,0
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,3136015.000000,739142.437368,"ns/op",2,1
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,3311876.000000,262481.055155,"ns/op",2,2
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,4954301.000000,678926.752613,"ns/op",2,3
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,5576316.000000,641741.209816,"ns/op",2,4
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,9204503.000000,1038414.873397,"ns/op",2,5
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,13282633.000000,1568705.124553,"ns/op",2,6
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,17125265.000000,1434829.249102,"ns/op",2,7
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,23281484.000000,2081264.316199,"ns/op",2,8
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,29800291.000000,2219184.838651,"ns/op",2,9
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,37682494.000000,3235412.514874,"ns/op",2,10
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,53042361.000000,4089181.225928,"ns/op",2,11
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,116332549.000000,7021223.468865,"ns/op",2,12
"net.haesleinhuepf.clij.benchmark.jmh.Minimum2D.ijrun","ss",1,100,208255246.000000,9384874.040469,"ns/op",2,13
