"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,1183194.000000,180072.026552,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,972244.000000,17657.458216,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,1160697.000000,36635.469672,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,1684209.000000,31331.035447,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,1975429.000000,28834.208104,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,3389235.000000,62675.026168,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,5535427.000000,51538.104755,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,7038079.000000,130320.176380,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,8606421.000000,78470.478035,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,14221003.000000,106977.642066,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,15685375.000000,250567.747979,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,27488402.000000,157191.844925,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,47087914.000000,1220684.271386,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.clij","ss",1,100,62642571.000000,16133001.868997,"ns/op",13
