"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: radius","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,592414.000000,37700.055548,"ns/op",2,0
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,3448776.000000,338869.755647,"ns/op",2,1
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,4077932.000000,338189.266444,"ns/op",2,2
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,4885735.000000,871363.584457,"ns/op",2,3
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,4356448.000000,642012.012393,"ns/op",2,4
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,5679947.000000,1096953.578338,"ns/op",2,5
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,7218426.000000,1412896.611711,"ns/op",2,6
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,8852444.000000,1425492.577511,"ns/op",2,7
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,10422270.000000,1309608.710110,"ns/op",2,8
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,13596222.000000,2261013.705316,"ns/op",2,9
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,16097181.000000,2287108.981182,"ns/op",2,10
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,21493198.000000,4066286.676878,"ns/op",2,11
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,48496392.000000,8154116.831055,"ns/op",2,12
"net.haesleinhuepf.clij.benchmark.jmh.Mean2D.ijrun","ss",1,100,84776459.000000,9981879.798612,"ns/op",2,13
