"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: radius","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,1674737.000000,187262.488497,"ns/op",2,0
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,1406357595.000000,17455378.929498,"ns/op",2,1
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,2254423006.000000,13750195.946479,"ns/op",2,2
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,3659016697.000000,23374387.772525,"ns/op",2,3
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,4582670050.000000,22501228.841267,"ns/op",2,4
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,5944982120.000000,76537398.570572,"ns/op",2,5
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,6852688813.000000,27834743.676177,"ns/op",2,6
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,9176402327.000000,35557363.289589,"ns/op",2,7
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,11415086606.000000,59682282.980808,"ns/op",2,8
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,14558369384.000000,61517824.499723,"ns/op",2,9
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,18549439785.000000,204330254.366316,"ns/op",2,10
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,23162760282.000000,143488554.225383,"ns/op",2,11
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,29201246963.000000,226795715.277341,"ns/op",2,12
"net.haesleinhuepf.clij.benchmark.jmh.Median3D.ijrun","ss",1,100,34211211490.000000,2789004493.304902,"ns/op",2,13
