"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,1248280.000000,103250.180359,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,2094788.000000,34561.094409,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,3016622.000000,38324.275690,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,3973319.000000,41447.361837,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,5004097.000000,39959.243665,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,5949829.000000,70731.281128,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,7140419.000000,59087.293225,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,8931493.000000,123480.850090,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,12393605.000000,430519.323765,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,15459381.000000,712262.796842,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,20060391.000000,1240004.623042,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,23461262.000000,356635.221949,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,31211542.000000,903486.318070,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.clij_sphere","ss",1,100,22982856.000000,6041325.031032,"ns/op",13
